PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,%Activity at 18.75 uM_Mean,%Activity at 18.75 uM_1,%Activity at 18.75 uM_2,%Activity at 18.75 uM_3,%Activity at 18.75 uM_4,Value_1,Value_2,Value_3,Value_4,Mean High,STD Deviation High,Mean Low,STD Deviation Low,PUBCHEM_SMILES
476,4249581.0,3243514.0,CCOC1=CC=C(C=C1)C2=CC(=NO2)CCCC(=O)NC3=C(C=CC(=C3)OC)OC,Active,30.0,,,78.63,79.16,75.82,79.37,80.17,179.84,207.52,178.12,171.47,0,7.44,100,0.45,CCOC1=CC=C(C=C1)C2=CC(=NO2)CCCC(=O)NC3=C(C=CC(=C3)OC)OC
477,845090.0,647427.0,CCC1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)OC,Active,30.0,,,93.56,93.55,93.63,93.25,93.82,60.47,59.8,62.97,58.26,0,7.44,100,0.45,CCC1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)OC
478,24789660.0,5770958.0,CC(C)CCNC(=O)CN(CC1=CC=CS1)C(=O)/C=C/C(=O)C2=C(C=C(C=C2)OC)O,Active,30.0,,,91.36,91.42,92.86,91.12,90.05,78.14,66.25,80.67,89.54,0,7.44,100,0.45,CC(C)CCNC(=O)CN(CC1=CC=CS1)C(=O)/C=C/C(=O)C2=C(C=C(C=C2)OC)O
479,22406887.0,2387558.0,C1=CC(=CC=C1CNC(=O)COC(=O)CCCOC2=C(C=C(C=C2)Cl)Cl)F,Active,30.0,,,46.15,48.69,45.76,47.92,42.24,432.61,456.87,438.93,486.08,0,7.44,100,0.45,C1=CC(=CC=C1CNC(=O)COC(=O)CCCOC2=C(C=C(C=C2)Cl)Cl)F
480,24785171.0,1048482.0,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-],Inactive,21.0,,,10.05,15.57,11.86,9.28,3.5,707.28,738.09,759.46,807.4,0,7.44,100,0.45,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-]
481,22409185.0,1219922.0,C1CCC2=C(C1)C3=C(S2)N=CN=C3SC4=NN=NN4C5=CC=CC=C5,Inactive,21.0,,,14.85,17.31,16.45,13.65,12.01,692.85,699.97,723.25,736.85,0,7.44,100,0.45,C1CCC2=C(C1)C3=C(S2)N=CN=C3SC4=NN=NN4C5=CC=CC=C5
482,24783224.0,839498.0,CC1=CC2=C(C=C1)N=C(S2)NC(=O)CCCC(=O)O,Active,30.0,,,94.77,94.56,94.64,95.05,94.81,52.07,51.43,48.03,50.02,0,7.44,100,0.45,CC1=CC2=C(C=C1)N=C(S2)NC(=O)CCCC(=O)O
483,17431749.0,2894929.0,CCC1=CC=C(C=C1)OCC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC=C2C,Inactive,21.0,,,-5.72,-2.63,-3.2,-6.84,-10.21,858.28,862.98,893.19,921.09,0,7.44,100,0.45,CCC1=CC=C(C=C1)OCC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC=C2C
484,24818713.0,1471842.0,CC(=O)NC1=C2C(=NN(C2=NC=N1)C(C)(C)C)C3=CC=C(C=C3)Cl,Active,30.0,,,42.69,44.55,43.47,41.27,41.48,466.88,475.91,494.16,492.35,0,7.44,100,0.45,CC(=O)NC1=C2C(=NN(C2=NC=N1)C(C)(C)C)C3=CC=C(C=C3)Cl
485,17508156.0,5719372.0,CCN1C2=CC(=C(C=C2[N+](=C1/C=C/NC3=CC=CC=C3)CC)Cl)Cl.[I-],Inactive,21.0,,,-3.26,3.13,-1.02,-6.11,-9.02,810.49,844.93,887.15,911.23,0,7.44,100,0.45,CCN1C2=CC(=C(C=C2[N+](=C1/C=C/NC3=CC=CC=C3)CC)Cl)Cl.[I-]
486,7965944.0,5307926.0,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C)CCC(=O)NC(C)CCC4=CC=CO4,Active,30.0,,,81.69,82.41,82.62,81.38,80.36,152.86,151.15,161.42,169.92,0,7.44,100,0.45,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C)CCC(=O)NC(C)CCC4=CC=CO4
487,4256991.0,892017.0,C1OC2=C(O1)C=C(C=C2)C3=NC(=NO3)C4=CC=CC=N4,Active,30.0,,,84.9,82.52,85.71,84.84,86.51,151.95,125.49,132.71,118.87,0,7.44,100,0.45,C1OC2=C(O1)C=C(C=C2)C3=NC(=NO3)C4=CC=CC=N4
488,7967797.0,1151859.0,CCOC(=O)CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2,Active,30.0,,,81.62,85.07,74.78,89.81,76.82,130.86,216.2,91.49,199.28,0,7.44,100,0.45,CCOC(=O)CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
489,49819121.0,2214004.0,C1CN(CCN1CC2=CC=CC=C2F)C3=CC=C(C=C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-],Inactive,21.0,,,30.73,19.96,49.12,12.52,41.33,670.9,428.99,732.57,493.65,0,7.44,100,0.45,C1CN(CCN1CC2=CC=CC=C2F)C3=CC=C(C=C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-]
490,89855461.0,97976.0,CC1CC(C(=NNC(=O)N)C(C1)C(CC2CCC(=O)NC2=O)O)C,Inactive,21.0,,,18.75,15.01,23.35,15.86,20.77,711.92,642.79,704.88,664.17,0,7.44,100,0.45,CC1CC(C(=NNC(=O)N)C(C1)C(CC2CCC(=O)NC2=O)O)C
491,49826751.0,16547660.0,C1COC2=C(O1)C=CC(=C2)C(=O)NCCC3=CC=CC=C3,Active,30.0,,,90.82,90.69,92.64,88.86,91.11,84.21,68.05,99.35,80.76,0,7.44,100,0.45,C1COC2=C(O1)C=CC(=C2)C(=O)NCCC3=CC=CC=C3
492,14743053.0,2035866.0,COC(=O)CCS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2,Active,30.0,,,98.58,98.93,98.84,98.04,98.51,15.88,16.62,23.25,19.36,0,7.44,100,0.45,COC(=O)CCS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
493,49733776.0,1256424.0,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])C(=O)C4=CC=CS4,Active,30.0,,,98.71,98.68,97.78,99.17,99.21,17.92,25.39,13.88,13.54,0,7.44,100,0.45,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])C(=O)C4=CC=CS4
494,99355729.0,5140086.0,CC12CC3C(C4C=C(C5C(C1O2)O5)C(=O)O4)C(=C)C(=O)O3,Active,30.0,,,67.65,66.38,36.9,89.07,78.24,285.83,530.41,97.65,187.49,0,7.44,100,0.45,CC12CC3C(C4C=C(C5C(C1O2)O5)C(=O)O4)C(=C)C(=O)O3
495,24832079.0,2401486.0,CC1=CC(=C(N1CCOC)C)C(=O)COC(=O)C2=CC=CC=C2Br,Active,30.0,,,42.05,44.88,39.27,43.73,40.33,464.14,510.69,473.72,501.93,0,7.44,100,0.45,CC1=CC(=C(N1CCOC)C)C(=O)COC(=O)C2=CC=CC=C2Br
496,92764120.0,308437.0,CC1CC(C=C(CCC=C(CC(C2CC1OC(=O)C2=C)O)C)C)O,Active,30.0,,,97.5,97.42,98.15,96.83,97.59,28.39,22.32,33.24,26.94,0,7.44,100,0.45,CC1CC(C=C(CCC=C(CC(C2CC1OC(=O)C2=C)O)C)C)O
497,49672045.0,2536883.0,COC1=C(C=CC(=C1)SC)C(=O)NC2=NC3=CC=CC=C3N2,Active,30.0,,,99.45,100.11,99.45,99.47,98.77,6.04,11.52,11.4,17.15,0,7.44,100,0.45,COC1=C(C=CC(=C1)SC)C(=O)NC2=NC3=CC=CC=C3N2
498,47204263.0,774024.0,C1=CC(=CC=C1CC2=CC=NC=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-],Inactive,21.0,,,27.03,24.05,26.36,26.82,30.89,636.98,617.77,613.97,580.25,0,7.44,100,0.45,C1=CC(=CC=C1CC2=CC=NC=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-]
499,7970738.0,866501.0,CC1=CC(=CC=C1)N2C3=C(C=N2)C(=NC=N3)N(C)C4CCCCC4,Active,30.0,,,81.35,81.08,81.56,80.89,81.86,163.9,159.91,165.48,157.47,0,7.44,100,0.45,CC1=CC(=CC=C1)N2C3=C(C=N2)C(=NC=N3)N(C)C4CCCCC4
500,49719601.0,20959060.0,CC1=C(C(=CC=C1)NS(=O)(=O)C2=CC=C(C=C2)C3=CN=C(O3)C4CC4)C,Inactive,21.0,,,19.93,17.99,16.63,24.17,20.94,687.25,698.47,635.94,662.78,0,7.44,100,0.45,CC1=C(C(=CC=C1)NS(=O)(=O)C2=CC=C(C=C2)C3=CN=C(O3)C4CC4)C
501,49822191.0,8272034.0,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)C3=C(C=C(C=C3)Cl)Cl,Active,30.0,,,82.37,82.72,82.66,80.58,83.51,150.34,150.85,168.06,143.73,0,7.44,100,0.45,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)C3=C(C=C(C=C3)Cl)Cl
502,22408394.0,2439209.0,CC1=CC=C(C=C1)NC(=O)CN(C)C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,Active,30.0,,,100.05,100.17,100.13,99.96,99.95,5.59,5.89,7.34,7.41,0,7.44,100,0.45,CC1=CC=C(C=C1)NC(=O)CN(C)C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl
503,24832144.0,2444453.0,CC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC=CC=N3,Active,30.0,,,88.69,87.94,90.25,87.39,89.16,107.03,87.84,111.59,96.9,0,7.44,100,0.45,CC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC=CC=N3
504,49643642.0,718402.0,COC1=C(C=CC(=C1)/C=C/[N+](=O)[O-])OC(=O)C2=CN=CC=C2,Active,30.0,,,53.52,51.86,52.97,54.64,54.6,406.25,397.11,383.25,383.59,0,7.44,100,0.45,COC1=C(C=CC(=C1)/C=C/[N+](=O)[O-])OC(=O)C2=CN=CC=C2
505,17386195.0,998879.0,CC1=C(C=C(C=C1)C2=C(SC(=N2)NC(=O)C3=NN(C=C3[N+](=O)[O-])C)C)C,Inactive,21.0,,,1.44,-1,-2.72,5.41,4.08,844.75,858.99,791.59,802.63,0,7.44,100,0.45,CC1=C(C=C(C=C1)C2=C(SC(=N2)NC(=O)C3=NN(C=C3[N+](=O)[O-])C)C)C
506,24789658.0,5770964.0,COC1=CC(=C(C=C1)C(=O)/C=C/C(=O)N(CC2CCCO2)CC(=O)NC3CCCCC3)O,Active,30.0,,,99.21,99.44,99.91,98.38,99.12,11.64,7.72,20.39,14.32,0,7.44,100,0.45,COC1=CC(=C(C=C1)C(=O)/C=C/C(=O)N(CC2CCCO2)CC(=O)NC3CCCCC3)O
507,14743166.0,2027229.0,CC(C)CC1=NC2=C(C3=C1CCC3)C4=C(O2)C(=NC=N4)Cl,Active,30.0,,,48.82,33.87,52.44,52.62,56.35,555.51,401.51,399.96,369.04,0,7.44,100,0.45,CC(C)CC1=NC2=C(C3=C1CCC3)C4=C(O2)C(=NC=N4)Cl
508,24784802.0,5770968.0,COC1=CC(=C(C=C1)C(=O)/C=C/C(=O)N(CC2=CC=CS2)CC(=O)NC3CCCCC3)O,Active,30.0,,,95.11,98.07,95.34,97.23,89.78,22.98,45.63,29.93,91.75,0,7.44,100,0.45,COC1=CC(=C(C=C1)C(=O)/C=C/C(=O)N(CC2=CC=CS2)CC(=O)NC3CCCCC3)O
509,92763363.0,364428.0,C1=CSC(=C1)C2=CC=C(S2)C=O,Active,30.0,,,52.16,49.86,50.68,55.44,52.67,422.84,416.08,376.57,399.6,0,7.44,100,0.45,C1=CSC(=C1)C2=CC=C(S2)C=O
510,22414086.0,1764318.0,CCCCOC(=O)C1=CC=C(C=C1)NC(=S)NC(=O)C2=C(C(=NN2C)C)Br,Active,30.0,,,55.65,53.41,55.82,58.58,54.79,393.39,373.46,350.55,382,0,7.44,100,0.45,CCCCOC(=O)C1=CC=C(C=C1)NC(=S)NC(=O)C2=C(C(=NN2C)C)Br
511,85269223.0,4880035.0,CN(CC(=O)NC1=CC=C(C=C1)OC)C(=O)C2(CCCC2)C3=CC=CC=C3,Inactive,21.0,,,32.5,35.61,31.93,30.66,31.78,541.07,571.6,582.11,572.85,0,7.44,100,0.45,CN(CC(=O)NC1=CC=C(C=C1)OC)C(=O)C2(CCCC2)C3=CC=CC=C3
512,49725744.0,829962.0,CC1=CC(=C(O1)C)C(=O)NC2=CC=C(C=C2)CC(=O)O,Active,30.0,,,60.4,58.73,60.46,62.38,60.05,349.27,334.99,319.04,338.39,0,7.44,100,0.45,CC1=CC(=C(O1)C)C(=O)NC2=CC=C(C=C2)CC(=O)O
513,14745553.0,9551984.0,C1COC2=C(O1)C=CC(=C2)/C(=C(/C(=S)NC3=CC=CC4=CC=CC=C43)\[N+]5=CC=CC=C5)/[O-],Inactive,21.0,,,-40.25,-41.04,-33.98,-43.68,-42.3,1176.84,1118.29,1198.73,1187.29,0,7.44,100,0.45,C1COC2=C(O1)C=CC(=C2)/C(=C(/C(=S)NC3=CC=CC4=CC=CC=C43)\[N+]5=CC=CC=C5)/[O-]
514,57261793.0,4793744.0,C1CCCC(CC1)NC(=O)C2=CC=C(S2)[N+](=O)[O-],Active,30.0,,,74.07,73.45,73.78,73.67,75.38,227.24,224.51,225.41,211.17,0,7.44,100,0.45,C1CCCC(CC1)NC(=O)C2=CC=C(S2)[N+](=O)[O-]
515,14722386.0,774798.0,CC1=C(OC=C1)C(=O)NC2=CC=C(C=C2)CC(=O)O,Active,30.0,,,93.78,94.12,94.09,93.31,93.61,55.76,55.99,62.47,59.95,0,7.44,100,0.45,CC1=C(OC=C1)C(=O)NC2=CC=C(C=C2)CC(=O)O
516,24795561.0,888424.0,CCC(=O)NC1=CC=CC(=C1)C(=O)C2=CC(=C(C=C2)C)C,Active,30.0,,,64.75,64.73,63.56,65.79,64.92,299.51,309.21,290.77,297.95,0,7.44,100,0.45,CCC(=O)NC1=CC=CC(=C1)C(=O)C2=CC(=C(C=C2)C)C
517,24803535.0,3161520.0,CC(C)C(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4,Inactive,21.0,,,-1.74,-4.84,-2.61,0.52,-0.04,876.56,858.08,832.1,836.75,0,7.44,100,0.45,CC(C)C(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4
518,24805317.0,16192713.0,CCCCCC1=CC(=C(C=C1)OCCCC[N+]2=CC=CC(=C2)C)CCCCC.[Cl-],Inactive,21.0,,,33.05,26.34,37.53,33.47,34.87,617.93,525.16,558.79,547.25,0,7.44,100,0.45,CCCCCC1=CC(=C(C=C1)OCCCC[N+]2=CC=CC(=C2)C)CCCCC.[Cl-]
519,49725399.0,3177673.0,CC1=CC=CC=C1N(C(C2=CC=C(C=C2)O)C(=O)NC3CCCCC3)C(=O)C4=C(C(=NS4)C(=O)N)N,Inactive,21.0,,,35.55,36.44,36.35,32.81,36.62,534.15,534.97,564.33,532.71,0,7.44,100,0.45,CC1=CC=CC=C1N(C(C2=CC=C(C=C2)O)C(=O)NC3CCCCC3)C(=O)C4=C(C(=NS4)C(=O)N)N
520,22406655.0,5238107.0,CN1CCN(CC1)CC2=NC3=CC=CC=C3C(=O)N2CC4=NC(=CS4)C5=CC6=CC=CC=C6C=C5,Inactive,21.0,,,-9.56,-4.81,-12.77,-13.64,-7.04,876.31,942.32,949.59,894.85,0,7.44,100,0.45,CN1CCN(CC1)CC2=NC3=CC=CC=C3C(=O)N2CC4=NC(=CS4)C5=CC6=CC=CC=C6C=C5
521,14745805.0,135512414.0,COC1=C(C=CC(=C1)/C=C(\C2=NC3=CC=CC=C3N2)/C(=O)C4=CC=CS4)O,Inactive,21.0,,,9.13,-18.97,15.45,17.97,22.05,993.78,708.32,687.36,653.53,0,7.44,100,0.45,COC1=C(C=CC(=C1)/C=C(\C2=NC3=CC=CC=C3N2)/C(=O)C4=CC=CS4)O
522,17402282.0,1400.0,CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)C,Active,30.0,,,70.11,70.09,70.74,69.19,70.42,255.07,249.67,262.57,252.35,0,7.44,100,0.45,CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)C
523,17506554.0,5331678.0,CC1=C(C=C2CCCCC2=N1)C(=O)/C=C/C3=CC=CC=C3F,Active,30.0,,,91.51,91.59,92.89,91.04,90.51,76.77,65.97,81.29,85.71,0,7.44,100,0.45,CC1=C(C=C2CCCCC2=N1)C(=O)/C=C/C3=CC=CC=C3F
524,49816297.0,802651.0,C1=CC=C2C=C(C=CC2=C1)C(=O)NC(=S)NC3=CC=CC(=C3)C(=O)O,Active,30.0,,,75.63,76.97,76.16,75.59,73.81,197.98,204.72,209.48,224.19,0,7.44,100,0.45,C1=CC=C2C=C(C=CC2=C1)C(=O)NC(=S)NC3=CC=CC(=C3)C(=O)O
525,22410729.0,15945389.0,COC1=CC=C(C=C1)OC2=C(C=C(C=C2)/C=C/C(=O)C3=CC=C(C=C3)O)[N+](=O)[O-],Inactive,21.0,,,37.37,45.45,21.99,30.91,51.15,459.49,654.05,580.05,412.15,0,7.44,100,0.45,COC1=CC=C(C=C1)OC2=C(C=C(C=C2)/C=C/C(=O)C3=CC=C(C=C3)O)[N+](=O)[O-]
526,87342130.0,6618799.0,CC[C@@]12C=CCN3C1C4(CC3)C([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)Br)OC)C,Inactive,21.0,,,-3.98,-2.22,-4.93,-2.66,-6.1,854.83,877.35,858.52,887.03,0,7.44,100,0.45,CC[C@@]12C=CCN3C1C4(CC3)C([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)Br)OC)C
527,49646531.0,24747581.0,CC(=O)C[C@H]1C2=C(C=C(C=C2)/C=C/C(=O)C)S(=O)(=O)N1CC3=CC=C(C=C3)OC,Inactive,21.0,,,6.21,4.67,12.37,7.65,0.14,797.7,733.83,773,835.31,0,7.44,100,0.45,CC(=O)C[C@H]1C2=C(C=C(C=C2)/C=C/C(=O)C)S(=O)(=O)N1CC3=CC=C(C=C3)OC
528,17513649.0,16410920.0,CC1CC(=CC([C@@H]1/C=N/N2C(=O)C3=C(C4=C(N3)C=CC(=C4)OC)NC2=O)C)C,Inactive,21.0,,,-1.96,1.8,-2.94,-4.61,-2.08,821.54,860.82,874.71,853.68,0,7.44,100,0.45,CC1CC(=CC([C@@H]1/C=N/N2C(=O)C3=C(C4=C(N3)C=CC(=C4)OC)NC2=O)C)C
529,22408509.0,6262747.0,CC1CCCCC1NC(=O)/C(=C/C2=CC=CC=C2F)/C#N,Active,30.0,,,81.04,82.86,84.14,79.13,78.03,149.13,138.51,180.12,189.2,0,7.44,100,0.45,CC1CCCCC1NC(=O)/C(=C/C2=CC=CC=C2F)/C#N
530,57267946.0,16326659.0,C1CS(=O)(=O)CC1N2CCN(CC2)CC(=O)N3C(CC(=N3)C4=CC=C(C=C4)Cl)C5=CC=CO5,Inactive,21.0,,,-11.04,-11.01,-14.5,-7.88,-10.79,927.73,956.74,901.79,925.92,0,7.44,100,0.45,C1CS(=O)(=O)CC1N2CCN(CC2)CC(=O)N3C(CC(=N3)C4=CC=C(C=C4)Cl)C5=CC=CO5
531,17408045.0,3216690.0,COC1=CC=CC(=C1)N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C#C,Active,30.0,,,98.93,98.57,99.44,98.54,99.18,18.82,11.67,19.08,13.79,0,7.44,100,0.45,COC1=CC=CC(=C1)N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C#C
532,51090004.0,24892573.0,CN(C)CCCN(C1=NC2=C(C=CC(=C2S1)OC)OC)C(=O)CCS(=O)(=O)C3=CC=CC=C3.Cl,Inactive,21.0,,,37.16,43.03,46.49,27.18,31.93,479.51,450.86,610.97,571.57,0,7.44,100,0.45,CN(C)CCCN(C1=NC2=C(C=CC(=C2S1)OC)OC)C(=O)CCS(=O)(=O)C3=CC=CC=C3.Cl
533,99494897.0,46948266.0,CS(=O)(=O)NC1=CC=CC(=C1)NC(=O)C2CC3=C(C=CN=C3O2)C4=CC(=CC=C4)F,Inactive,21.0,,,34.17,32.94,30.13,32.81,40.79,563.24,586.54,564.32,498.08,0,7.44,100,0.45,CS(=O)(=O)NC1=CC=CC(=C1)NC(=O)C2CC3=C(C=CN=C3O2)C4=CC(=CC=C4)F
534,49821389.0,1225752.0,C1CCCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=C(C=NN3)[N+](=O)[O-],Active,30.0,,,73.85,72.63,74.24,74.41,74.13,233.99,220.66,219.22,221.58,0,7.44,100,0.45,C1CCCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=C(C=NN3)[N+](=O)[O-]
535,103076390.0,49791133.0,CC(C)C1=CC=C(C=C1)NC(=O)NC2=NC(=CS2)C(C3CCCCC3)N,Inactive,21.0,,,10.94,12.32,13.39,7.18,10.86,734.29,725.41,776.86,746.36,0,7.44,100,0.45,CC(C)C1=CC=C(C=C1)NC(=O)NC2=NC(=CS2)C(C3CCCCC3)N
536,26725079.0,16745397.0,CC1=C(C(=O)OC(C1)[C@@H](C)C2CC[C@@H]3[C@@]2(CCC4C3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO,Active,30.0,,,97.09,97.47,96.94,96.75,97.21,27.97,32.41,33.94,30.15,0,7.44,100,0.45,CC1=C(C(=O)OC(C1)[C@@H](C)C2CC[C@@H]3[C@@]2(CCC4C3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO
537,49667229.0,1504002.0,C1=CC=C(C=C1)C(=O)C#CC2=CC=CC=C2N,Active,30.0,,,57.21,51.29,57.98,64.25,55.31,411,355.49,303.48,377.67,0,7.44,100,0.45,C1=CC=C(C=C1)C(=O)C#CC2=CC=CC=C2N
538,85198654.0,2548574.0,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-],Active,30.0,,,49.6,52.78,49.3,51.38,44.92,398.63,427.5,410.25,463.88,0,7.44,100,0.45,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-]
539,49647792.0,4970781.0,CN(C)CCCN1C=NC2=C(C1=N)C(C3=C(O2)C4=CC=CC=C4C=C3)C5=CC=C(C=C5)OC,Inactive,21.0,,,-1.67,-4.74,2.78,-2.68,-2.06,875.74,813.34,858.7,853.52,0,7.44,100,0.45,CN(C)CCCN1C=NC2=C(C1=N)C(C3=C(O2)C4=CC=CC=C4C=C3)C5=CC=C(C=C5)OC
540,92763921.0,341502.0,COC(=O)C1=C(C2C3=CC4=CC=CC=C4C=C3C1O2)C(=O)OC,Active,30.0,,,83.81,79.88,82.51,82.57,90.27,173.84,152.1,151.59,87.72,0,7.44,100,0.45,COC(=O)C1=C(C2C3=CC4=CC=CC=C4C=C3C1O2)C(=O)OC
541,49667402.0,1383269.0,CC1=CC(=CC=C1)N(CC2=CC(=O)NC3=CC=CC=C32)C(=O)CCl,Active,30.0,,,90.21,90.99,88.98,90.71,90.16,81.74,98.43,84.06,88.64,0,7.44,100,0.45,CC1=CC(=CC=C1)N(CC2=CC(=O)NC3=CC=CC=C32)C(=O)CCl
542,14730425.0,1484338.0,C1=CC=C(C=C1)C2=CC(=O)N(C2=O)NC3=CC=CC=C3,Active,30.0,,,55.8,54.29,54.66,54.2,60.06,386.14,383.02,386.87,338.23,0,7.44,100,0.45,C1=CC=C(C=C1)C2=CC(=O)N(C2=O)NC3=CC=CC=C3
543,24820854.0,252608.0,C1=CC=C(C=C1)C(=O)NC2=CC3=CC=CC=C3OC2=O,Active,30.0,,,68.27,70.43,66.33,66.48,69.83,252.22,286.28,285.02,257.23,0,7.44,100,0.45,C1=CC=C(C=C1)C(=O)NC2=CC3=CC=CC=C3OC2=O
544,22410027.0,4136214.0,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)CN3CCN(CC3)C4=CC=C(C=C4)O,Active,30.0,,,43.99,46.77,40.88,43.94,44.37,448.47,497.32,471.95,468.38,0,7.44,100,0.45,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)CN3CCN(CC3)C4=CC=C(C=C4)O
545,93576890.0,2199.0,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,Active,30.0,,,85.34,85.46,87.22,84.17,84.5,127.56,113.03,138.32,135.55,0,7.44,100,0.45,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O
546,26669478.0,586918.0,CC1=CC(=C(C=C1)C)OCC2=CC=C(O2)C(=O)NN,Inactive,21.0,,,28.64,28.65,29.45,30.73,25.73,598.84,592.2,581.53,623.06,0,7.44,100,0.45,CC1=CC(=C(C=C1)C)OCC2=CC=C(O2)C(=O)NN
547,26729196.0,9583467.0,CC1=C(C(=NN1C(C)(C)C)C)/C=N/OC(=O)NC2=CC=C(C=C2)Cl,Active,30.0,,,96.1,96.15,96.24,95.94,96.05,38.92,38.16,40.63,39.72,0,7.44,100,0.45,CC1=C(C(=NN1C(C)(C)C)C)/C=N/OC(=O)NC2=CC=C(C=C2)Cl
548,14732540.0,1312356.0,CC(C)CN1C=NC2=C(C1=N)C(=C(N2CC3=CC=CO3)C4=CC=CC=C4)C5=CC=CC=C5,Inactive,21.0,,,15.51,12.41,16.08,18.55,15.01,733.47,703.06,682.59,711.92,0,7.44,100,0.45,CC(C)CN1C=NC2=C(C1=N)C(=C(N2CC3=CC=CO3)C4=CC=CC=C4)C5=CC=CC=C5
549,17409568.0,1489267.0,CC1=CC=C(C=C1)CSC2=NC3=CC(=C(C=C3C(=N)N2CC4=CC(=C(C=C4)OC)Cl)OC)OC,Active,30.0,,,60.31,54.81,58.52,62.95,64.96,381.81,351.06,314.31,297.61,0,7.44,100,0.45,CC1=CC=C(C=C1)CSC2=NC3=CC(=C(C=C3C(=N)N2CC4=CC(=C(C=C4)OC)Cl)OC)OC
550,22401619.0,1189431.0,COC1=CC=C(C=C1)C2=CSC3=NC=NC(=C23)NC4=CC=C(C=C4)OC,Inactive,21.0,,,25.9,26.33,25.66,26.01,25.61,618.06,623.56,620.67,623.99,0,7.44,100,0.45,COC1=CC=C(C=C1)C2=CSC3=NC=NC(=C23)NC4=CC=C(C=C4)OC
551,14737500.0,4109389.0,CC1=CC(=CC(=C1)NS(=O)(=O)C2=CC3=C(C=C2)N(C(=O)N(C3=O)C)C)C,Active,30.0,,,41.14,39.36,42.25,39.93,43.02,509.96,486,505.24,479.57,0,7.44,100,0.45,CC1=CC(=CC(=C1)NS(=O)(=O)C2=CC3=C(C=C2)N(C(=O)N(C3=O)C)C)C
