PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,%Activity at 18.75 uM_Mean,%Activity at 18.75 uM_1,%Activity at 18.75 uM_2,%Activity at 18.75 uM_3,%Activity at 18.75 uM_4,Value_1,Value_2,Value_3,Value_4,Mean High,STD Deviation High,Mean Low,STD Deviation Low,PUBCHEM_SMILES
34,87336907.0,44601686.0,C1CCN(CC1)C(=O)[C@H]2C[C@@H](C(=O)N3[C@@]2(C4=C(CC3)C5=C(N4)C=CC(=C5)Cl)CCC6=CC=CC=C6)CC(=O)NCCCN7C=CN=C7,Inactive,21.0,,,12.5,11.83,10.5,11.8,15.88,781.35,793.11,781.66,745.84,0,9.38,100,0.43,C1CCN(CC1)C(=O)[C@H]2C[C@@H](C(=O)N3[C@@]2(C4=C(CC3)C5=C(N4)C=CC(=C5)Cl)CCC6=CC=CC=C6)CC(=O)NCCCN7C=CN=C7
35,26665838.0,238775.0,C1=CC=C(C=C1)C=C=NC(=O)C(=O)C=C=NC2=CC=CC=C2,Active,30.0,,,53.03,52.93,52.31,53.77,53.13,420.27,425.68,412.91,418.53,0,9.38,100,0.43,C1=CC=C(C=C1)C=C=NC(=O)C(=O)C=C=NC2=CC=CC=C2
36,124755652.0,53301480.0,CCOC(=O)C1=C(C=C(C=C1)C2=CC=C(C=C2)N3C(C4=C(C=CC(=C4)F)C=C3C5=CSC=C5)C6=CNC7=C6C=C(C=C7)C#N)F,Active,30.0,,,46.6,46.32,45.81,42.65,51.61,478.38,482.79,510.59,431.86,0,9.38,100,0.43,CCOC(=O)C1=C(C=C(C=C1)C2=CC=C(C=C2)N3C(C4=C(C=CC(=C4)F)C=C3C5=CSC=C5)C6=CNC7=C6C=C(C=C7)C#N)F
37,22405515.0,11644907.0,C1=CC(C=CC1=O)(C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Active,30.0,,,91.62,92.33,91.71,91.26,91.19,74.05,79.56,83.45,84.14,0,9.38,100,0.43,C1=CC(C=CC1=O)(C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
38,14733148.0,4054690.0,COC1=CC=C(C=C1)C2=CC(=NC(=N2)S(=O)(=O)C)C(F)(F)F,Inactive,21.0,,,30.14,30.38,27.07,28.57,34.53,618.36,647.52,634.27,581.9,0,9.38,100,0.43,COC1=CC=C(C=C1)C2=CC(=NC(=N2)S(=O)(=O)C)C(F)(F)F
39,17402478.0,638439.0,COC1=C(C=CC(=C1)/C=C/[N+](=O)[O-])O,Active,30.0,,,52.08,50.71,52.83,53.28,51.48,439.76,421.15,417.17,433,0,9.38,100,0.43,COC1=C(C=CC(=C1)/C=C/[N+](=O)[O-])O
40,26658656.0,5852959.0,C1=COC(=C1)C(=O)/C=C/C2=C(C=CC(=C2)Br)O,Active,30.0,,,46.3,44.84,46.4,42.87,51.08,491.35,477.65,508.63,436.52,0,9.38,100,0.43,C1=COC(=C1)C(=O)/C=C/C2=C(C=CC(=C2)Br)O
41,49674233.0,200953.0,C1=CC=C(C=C1)C#CC(=O)C2=CC=CO2,Active,30.0,,,90.41,89.78,92.52,81.51,97.85,96.53,72.46,169.19,25.6,0,9.38,100,0.43,C1=CC=C(C=C1)C#CC(=O)C2=CC=CO2
42,14730424.0,1484340.0,C1=CC=C(C=C1)NN2C(=O)C=C(C2=O)C3=CC=C(C=C3)Cl,Active,30.0,,,95.23,94.9,95.14,94.4,96.49,51.54,49.44,55.88,37.58,0,9.38,100,0.43,C1=CC=C(C=C1)NN2C(=O)C=C(C2=O)C3=CC=C(C=C3)Cl
43,49673580.0,16249515.0,CCOC1=C(C(=CC(=C1)/C=C/2\COC3=CC=CC=C3C2=O)Br)OCC(=O)N(C)C,Active,30.0,,,60.48,53.5,57.76,62.02,68.63,415.22,377.8,340.4,282.29,0,9.38,100,0.43,CCOC1=C(C(=CC(=C1)/C=C/2\COC3=CC=CC=C3C2=O)Br)OCC(=O)N(C)C
44,17515138.0,6031825.0,CC1=CC=CC=C1NC(=O)/C=C/C2=CC=C(S2)[N+](=O)[O-],Active,30.0,,,68.15,61.21,69.46,72.27,69.66,347.5,274.99,250.33,273.31,0,9.38,100,0.43,CC1=CC=CC=C1NC(=O)/C=C/C2=CC=C(S2)[N+](=O)[O-]
45,51087883.0,5894133.0,COC1=C(C=C(C(=C1)C(=O)/C=C/C2=CN=CC=C2)[N+](=O)[O-])OC,Active,30.0,,,73.27,60.3,79.27,74.84,78.67,355.51,188.85,227.74,194.15,0,9.38,100,0.43,COC1=C(C=C(C(=C1)C(=O)/C=C/C2=CN=CC=C2)[N+](=O)[O-])OC
46,49669120.0,789621.0,C1=CC=C(C=C1)C2=NC(=CC(=N2)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,21.0,,,-32.09,-28.69,-36.4,-30.84,-32.41,1137.44,1205.17,1156.32,1170.07,0,9.38,100,0.43,C1=CC=C(C=C1)C2=NC(=CC(=N2)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O
47,92764384.0,3005295.0,C1=CC=C(C=C1)C(=NNC(=S)N(CC2=CC=CC=N2)CC3=CC=CC=N3)C4=CC=CC=N4,Active,30.0,,,67.71,64.12,68.18,70.1,68.46,321.96,286.3,269.45,283.82,0,9.38,100,0.43,C1=CC=C(C=C1)C(=NNC(=S)N(CC2=CC=CC=N2)CC3=CC=CC=N3)C4=CC=CC=N4
48,850880.0,653427.0,CC1=NON=C1NC(=O)CSC2=NC(=NC3=CC=CC=C32)C4CCCCC4,Inactive,21.0,,,30.37,35.56,27.6,33.48,24.84,572.93,642.83,591.18,667.1,0,9.38,100,0.43,CC1=NON=C1NC(=O)CSC2=NC(=NC3=CC=CC=C32)C4CCCCC4
49,92764242.0,3005734.0,CC(=NNC(=S)NC1=CC(=CC=C1)Cl)C2=CC=CC=N2,Inactive,21.0,,,-166.83,-147.01,-172.32,-135.03,-212.99,2176.97,2399.33,2071.72,2756.67,0,9.38,100,0.43,CC(=NNC(=S)NC1=CC(=CC=C1)Cl)C2=CC=CC=N2
50,4244978.0,561049.0,CC(=O)CC1C(=C(C(=O)O1)Br)NCC2=CC=CC=C2,Inactive,21.0,,,16.61,13.01,10.08,20.31,23.02,770.99,796.72,706.91,683.07,0,9.38,100,0.43,CC(=O)CC1C(=C(C(=O)O1)Br)NCC2=CC=CC=C2
51,56463468.0,5287620.0,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O,Active,30.0,,,43.4,40.26,47.77,43.22,42.37,531.6,465.61,505.59,513.05,0,9.38,100,0.43,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O
52,16953107.0,798022.0,CCC1CCC2(CC1)NNC(=S)NN2,Active,30.0,,,68.54,67.68,65.67,69.09,71.71,290.68,308.3,278.24,255.24,0,9.38,100,0.43,CCC1CCC2(CC1)NNC(=S)NN2
53,49667108.0,4872337.0,C1CCC(CC1)NC2=NC(=NC(=C2[N+](=O)[O-])N)NCCCN,Inactive,21.0,,,17.83,18.74,9.6,24.32,18.67,720.67,801.01,671.6,721.33,0,9.38,100,0.43,C1CCC(CC1)NC2=NC(=NC(=C2[N+](=O)[O-])N)NCCCN
54,49825723.0,840359.0,CC(C)C1=CC=C(C=C1)/C=C/C(=O)NC(=S)NN2CCOCC2,Inactive,21.0,,,-14.54,-14.4,-16.48,-12.07,-15.2,1011.87,1030.15,991.4,1018.88,0,9.38,100,0.43,CC(C)C1=CC=C(C=C1)/C=C/C(=O)NC(=S)NN2CCOCC2
55,24822093.0,3744539.0,CC1=CC2=C(C=C1)NC(=O)C3=C(O2)C=CC(=C3)NC(=O)CCl,Active,30.0,,,72.35,73.88,72.46,70.38,72.69,236.2,248.64,266.99,246.66,0,9.38,100,0.43,CC1=CC2=C(C=C1)NC(=O)C3=C(O2)C=CC(=C3)NC(=O)CCl
56,17415657.0,2277493.0,C1=CC=C2C(=C1)N=C(S2)SC3=C(C=C(C=C3)S(=O)(=O)C(F)(F)F)[N+](=O)[O-],Inactive,21.0,,,34.41,34.46,28.66,34.11,40.4,582.59,633.55,585.59,530.4,0,9.38,100,0.43,C1=CC=C2C(=C1)N=C(S2)SC3=C(C=C(C=C3)S(=O)(=O)C(F)(F)F)[N+](=O)[O-]
57,99359004.0,46903697.0,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=NC=C3)O[C@@H]1CN(C)C(=O)NC4=CC(=CC=C4)OC)[C@H](C)CO,Inactive,21.0,,,18.93,23.46,23.28,14.63,14.34,679.18,680.74,756.78,759.35,0,9.38,100,0.43,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=NC=C3)O[C@@H]1CN(C)C(=O)NC4=CC(=CC=C4)OC)[C@H](C)CO
58,22411880.0,15945552.0,CC1=C(C(=NC2=CC(=NN12)C3=CC=C(C=C3)Cl)C)CCC(=O)NC(C)C4=CC5=C(C=C4)OCCO5,Active,30.0,,,92.77,92.48,92.89,92.92,92.77,72.75,69.14,68.94,70.19,0,9.38,100,0.43,CC1=C(C(=NC2=CC(=NN12)C3=CC=C(C=C3)Cl)C)CCC(=O)NC(C)C4=CC5=C(C=C4)OCCO5
59,56463072.0,6185.0,C[C@]12CC[C@H]3[C@H]([C@]1(CC[C@@H]2C4=CC(=O)OC4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C=O)O,Inactive,21.0,,,27.5,25.4,30.74,24.35,29.52,662.15,615.2,671.34,625.97,0,9.38,100,0.43,C[C@]12CC[C@H]3[C@H]([C@]1(CC[C@@H]2C4=CC(=O)OC4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C=O)O
60,14730335.0,5919900.0,C1=CC=C(C=C1)/C=C\2/C(=C(C(=O)O2)C#N)C3=CC=CC=C3,Inactive,21.0,,,4.49,10.27,2.16,4.02,1.52,795.13,866.38,850.03,871.97,0,9.38,100,0.43,C1=CC=C(C=C1)/C=C\2/C(=C(C(=O)O2)C#N)C3=CC=CC=C3
61,99355649.0,3321199.0,CCC(C)(C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(C=C5C)O)O)C)OC1=O)O)O)C)O,Active,30.0,,,44.69,44.07,45.36,43.48,45.84,498.12,486.74,503.28,482.54,0,9.38,100,0.43,CCC(C)(C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(C=C5C)O)O)C)OC1=O)O)O)C)O
62,17387473.0,11948845.0,CCCCCCCSC1=C(C=C(C(=C1)OC)CCNC)OC.C(=C\C(=O)O)\C(=O)O,Inactive,21.0,,,8.52,6.24,8.71,8.63,10.49,830.47,808.76,809.5,793.13,0,9.38,100,0.43,CCCCCCCSC1=C(C=C(C(=C1)OC)CCNC)OC.C(=C\C(=O)O)\C(=O)O
63,17514753.0,2134372.0,CC1=CC=C(C=C1)S(=O)(=O)/C(=C/Cl)/NC(=O)C2=CC=CC=C2,Inactive,21.0,,,7.95,4.62,6,10.53,10.64,844.74,832.65,792.83,791.81,0,9.38,100,0.43,CC1=CC=C(C=C1)S(=O)(=O)/C(=C/Cl)/NC(=O)C2=CC=CC=C2
64,14733390.0,1518975.0,COC(=O)C1=CC(=O)N(C(=NC2=CC(=C(C=C2)F)Cl)S1)CC3=CC4=C(C=C3)OCO4,Inactive,21.0,,,6.12,7.99,4.33,7.99,4.17,815.09,847.25,815.12,848.67,0,9.38,100,0.43,COC(=O)C1=CC(=O)N(C(=NC2=CC(=C(C=C2)F)Cl)S1)CC3=CC4=C(C=C3)OCO4
65,14740568.0,6895734.0,CC1=CC=CC=C1C(=O)N/N=C/C2=CC=C(S2)[N+](=O)[O-],Active,30.0,,,89.71,88.6,89.72,90.24,90.28,106.84,96.99,92.45,92.08,0,9.38,100,0.43,CC1=CC=CC=C1C(=O)N/N=C/C2=CC=C(S2)[N+](=O)[O-]
66,49671819.0,5713277.0,CC(=O)OC(C)(C)/C=C/C(=O)C(C)(C1[C@@H](C[C@@]2([C@@]1(CC(=O)[C@@]3(C2CC=C4C3CC[C@H](C4(C)C)O)CO)C)C)O)O,Active,30.0,,,73.31,73.55,71.73,74.37,73.56,239.07,255.05,231.85,238.97,0,9.38,100,0.43,CC(=O)OC(C)(C)/C=C/C(=O)C(C)(C1[C@@H](C[C@@]2([C@@]1(CC(=O)[C@@]3(C2CC=C4C3CC[C@H](C4(C)C)O)CO)C)C)O)O
67,49721822.0,16453495.0,C1OC2=C(O1)C=C(C=C2)CNC(=O)C3=NC(=NC=C3Cl)S(=O)(=O)CC4=CC=CC=C4F,Active,30.0,,,68.18,68.89,64.05,61.4,78.4,280.06,322.6,345.83,196.51,0,9.38,100,0.43,C1OC2=C(O1)C=C(C=C2)CNC(=O)C3=NC(=NC=C3Cl)S(=O)(=O)CC4=CC=CC=C4F
68,49730836.0,20920345.0,CC1=CC=C(C=C1)N2C(=C3C(=NN=C(C3=N2)N4CCC(CC4)C(=O)NCC5=CC=CC=C5C)C)C,Inactive,21.0,,,20.7,22.85,22.32,15.89,21.74,684.6,689.23,745.72,694.33,0,9.38,100,0.43,CC1=CC=C(C=C1)N2C(=C3C(=NN=C(C3=N2)N4CCC(CC4)C(=O)NCC5=CC=CC=C5C)C)C
69,17515680.0,6378950.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)/C(=C/C3=CC=CO3)/N4C=CC=CC4=C(C#N)C#N,Active,30.0,,,96.55,94.15,96.99,97.16,97.9,58.13,33.11,31.69,25.17,0,9.38,100,0.43,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)/C(=C/C3=CC=CO3)/N4C=CC=CC4=C(C#N)C#N
70,92764445.0,396733.0,CCOC(=O)C1=C(N(C(=S)N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)SCCN4CCCC4,Active,30.0,,,93.2,92.57,93.07,93.26,93.92,71.95,67.56,65.96,60.15,0,9.38,100,0.43,CCOC(=O)C1=C(N(C(=S)N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)SCCN4CCCC4
71,3716773.0,854805.0,CCOC(=O)C1=NC(=NC=C1Cl)S(=O)(=O)C,Inactive,21.0,,,-3.23,-7.01,-6.51,-4.2,4.81,946.89,942.55,922.22,843.04,0,9.38,100,0.43,CCOC(=O)C1=NC(=NC=C1Cl)S(=O)(=O)C
